S	E	I	R
107	1	24	186
107	1	24	186
107	1	24	186
107	1	24	186
107	1	24	186
107	1	24	186
107	1	23	187
107	1	23	187
107	1	23	187
107	1	23	187
107	1	23	187
107	1	23	187
107	1	23	187
107	1	23	187
107	0	23	188
107	0	23	188
107	0	23	188
106	1	23	188
106	1	23	188
106	1	23	188
106	1	23	188
105	2	23	188
105	2	22	189
105	2	22	189
105	2	21	190
105	1	22	190
103	2	23	190
102	3	23	190
102	2	24	190
102	2	24	190
102	2	24	190
102	2	24	190
101	3	24	190
101	3	24	190
101	3	23	191
101	3	22	192
101	3	22	192
101	3	22	192
101	3	22	192
101	3	21	193
101	3	21	193
101	3	21	193
101	3	20	194
101	3	20	194
100	4	20	194
100	4	20	194
100	4	20	194
100	3	21	194
100	3	20	195
100	3	20	195
100	3	20	195
100	3	20	195
100	3	20	195
100	3	20	195
100	3	20	195
100	3	20	195
100	3	19	196
100	3	19	196
100	3	19	196
100	3	19	196
100	3	19	196
99	4	19	196
98	5	19	196
98	5	19	196
98	5	19	196
98	5	19	196
98	5	18	197
98	5	18	197
98	5	18	197
98	5	17	198
98	5	17	198
98	5	17	198
98	5	17	198
98	5	17	198
98	5	16	199
98	5	16	199
98	5	15	200
98	5	15	200
98	5	15	200
98	4	16	200
98	4	16	200
98	4	16	200
98	4	16	200
98	4	16	200
98	4	16	200
98	4	16	200
98	4	16	200
98	4	16	200
98	4	16	200
98	4	15	201
98	4	15	201
97	5	15	201
97	5	15	201
97	5	15	201
97	4	16	201
97	3	17	201
97	2	18	201
97	2	18	201
97	2	18	201
97	2	18	201
97	2	18	201
97	1	19	201
97	1	19	201
97	1	19	201
97	1	19	201
97	1	19	201
97	1	19	201
97	1	19	201
97	1	19	201
97	1	19	201
97	0	20	201
97	0	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	20	201
96	1	19	202
96	1	19	202
96	1	19	202
96	1	18	203
96	1	18	203
96	1	18	203
96	1	18	203
96	1	18	203
96	1	18	203
96	1	18	203
96	1	18	203
96	1	18	203
96	0	19	203
96	0	19	203
96	0	19	203
96	0	19	203
96	0	18	204
96	0	18	204
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	17	205
96	0	16	206
96	0	16	206
96	0	16	206
96	0	16	206
96	0	16	206
96	0	16	206
96	0	16	206
95	1	16	206
95	1	16	206
95	1	16	206
95	1	16	206
95	0	16	207
95	0	16	207
95	0	16	207
95	0	15	208
95	0	15	208
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	14	209
95	0	13	210
95	0	13	210
95	0	13	210
95	0	13	210
95	0	13	210
95	0	13	210
95	0	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
94	1	13	210
93	2	13	210
93	2	13	210
93	2	13	210
93	2	13	210
93	2	13	210
93	2	13	210
93	2	13	210
93	2	13	210
93	2	13	210
93	2	13	210
93	2	13	210
93	2	13	210
93	1	14	210
93	1	14	210
93	1	14	210
93	1	14	210
93	1	14	210
93	1	14	210
93	1	14	210
93	1	14	210
93	1	14	210
93	1	14	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	15	210
92	1	14	211
92	1	14	211
92	1	14	211
92	1	14	211
92	1	14	211
92	1	14	211
92	1	14	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
92	0	15	211
91	1	15	211
90	2	15	211
90	2	15	211
90	2	15	211
90	2	15	211
90	2	15	211
90	2	15	211
90	2	15	211
